Participant, ParticipantID, Condition, Gesture, Attempt Number, Outcome, Gesture Length (ns), Ideal Gesture Length, Difference,Diff,,Participant, ParticipantID, Condition, Gesture, Attempt Number, Outcome, Gesture Length (ns), Ideal Gesture Length, Difference,Diff
14,829013541, Control, Flick Down,0, Correct,310550208,1004000000,693449792,,,10,905015701, Return, Flick Left,1, Correct,363624687,1005000000,641375313,
14,829013541, Control, Flick Down,1, Correct,339704688,1004000000,664295312,,,10,905015701, Return, Flick Left,2, Correct,298684583,1005000000,706315417,
14,829013541, Control, Flick Down,2, Correct,416374010,1004000000,587625990,,,10,905015701, Return, Flick Left,3, Correct,659797655,1005000000,345202345,
14,829013541, Control, Flick Down,3, Correct,425186510,1004000000,578813490,,,10,905015701, Return, Flick Left,4, Correct,534126720,1005000000,470873280,
14,829013541, Control, Flick Down,4, Correct,423548125,1004000000,580451875,-112997917,,10,905015701, Return, Flick Left,5, Correct,505515051,1005000000,499484949,-27769637
14,829013000, Control, Flick Left,0, Correct,437655624,1005000000,567344376,,,10,905020029, Return, Flick Right,0, Correct,390582188,1004000000,613417812,
14,829013000, Control, Flick Left,1, Correct,516585520,1005000000,488414480,,,10,905020029, Return, Flick Right,1, Correct,352996197,1004000000,651003803,
14,829013000, Control, Flick Left,2, Correct,919213281,1005000000,85786719,,,10,905020029, Return, Flick Right,2, Correct,558060834,1004000000,445939166,
14,829013000, Control, Flick Left,3, Correct,222949270,1005000000,782050730,,,10,905020029, Return, Flick Right,3, Correct,284005313,1004000000,719994687,
14,829013000, Control, Flick Left,4, Correct,203676979,1005000000,801323021,233978645,,10,905020029, Return, Flick Right,4, Correct,342509689,1004000000,661490311,221509738
14,829013446, Control, Flick Right,0, Correct,354238595,1004000000,649761405,,,10,905015853, Return, Flick Up,0, Correct,464597813,1007000000,542402187,
14,829013446, Control, Flick Right,1, Correct,348376875,1004000000,655623125,,,10,905015853, Return, Flick Up,1, Correct,512634635,1007000000,494365365,
14,829013446, Control, Flick Right,2, Correct,1013393178,1004000000,-9393178,,,10,905015853, Return, Flick Up,2, Correct,833151874,1007000000,173848126,
14,829013446, Control, Flick Right,3, Correct,370990313,1004000000,633009687,,,10,905015853, Return, Flick Up,3, Correct,513105313,1007000000,493894687,
14,829013446, Control, Flick Right,4, Correct,414516093,1004000000,589483907,-60277498,,10,905015853, Return, Flick Up,4, Correct,526973906,1007000000,480026094,-170595624
14,829013230, Control, Flick Up,0, Correct,5683973383,1007000000,-4676973383,,,11,905003434, Return, Double Flip Right,0, Correct,479048177,1010000000,530951823,
14,829013230, Control, Flick Up,1, Correct,460792864,1007000000,546207136,,,11,905003434, Return, Double Flip Right,1, Correct,626453438,1010000000,383546562,
