Participant,Condition,Question,Answer
10_22_15_17_43,Silenzio,Answer1,4.8
10_22_15_17_43,Silenzio,Answer2,4.8
10_22_15_17_43,Silenzio,Answer3,2.6
10_22_15_17_43,Silenzio,Answer4,4.1
10_22_15_17_43,Silenzio,Answer5,5.6
10_22_15_17_43,Silenzio,Answer6,6
10_21_17_38_56,GlissandoM,Answer1,3
10_21_17_38_56,GlissandoM,Answer2,4.6
10_21_17_38_56,GlissandoM,Answer3,7.5
10_21_17_38_56,GlissandoM,Answer4,7.5
10_21_17_38_56,GlissandoM,Answer5,2.5
10_21_17_38_56,GlissandoM,Answer6,4
10_21_17_22_19,GlissandoS,Answer1,10
10_21_17_22_19,GlissandoS,Answer2,0
10_21_17_22_19,GlissandoS,Answer3,10
10_21_17_22_19,GlissandoS,Answer4,10
10_21_17_22_19,GlissandoS,Answer5,0
10_21_17_22_19,GlissandoS,Answer6,0
10_21_17_13_21,GlissandoS,Answer1,9.7
10_21_17_13_21,GlissandoS,Answer2,7.5
10_21_17_13_21,GlissandoS,Answer3,1.6
10_21_17_13_21,GlissandoS,Answer4,9.2
10_21_17_13_21,GlissandoS,Answer5,0.1
10_21_17_13_21,GlissandoS,Answer6,2.8
10_21_16_47_21,Silenzio,Answer1,6.5
10_21_16_47_21,Silenzio,Answer2,5
10_21_16_47_21,Silenzio,Answer3,5.2
10_21_16_47_21,Silenzio,Answer4,5.4
10_21_16_47_21,Silenzio,Answer5,3.3
10_21_16_47_21,Silenzio,Answer6,6.4
10_21_16_27_6,GlissandoF,Answer1,9.2
10_21_16_27_6,GlissandoF,Answer2,3.8
10_21_16_27_6,GlissandoF,Answer3,0.7
10_21_16_27_6,GlissandoF,Answer4,7.5
10_21_16_27_6,GlissandoF,Answer5,1.8
10_21_16_27_6,GlissandoF,Answer6,1.1
10_21_15_48_31,GlissandoM,Answer1,8.5
10_21_15_48_31,GlissandoM,Answer2,8.2
10_21_15_48_31,GlissandoM,Answer3,1.1
10_21_15_48_31,GlissandoM,Answer4,4.7
10_21_15_48_31,GlissandoM,Answer5,0.9
10_21_15_48_31,GlissandoM,Answer6,9.5
10_21_14_51_38,GlissandoS,Answer1,10
10_21_14_51_38,GlissandoS,Answer2,10
10_21_14_51_38,GlissandoS,Answer3,0
10_21_14_51_38,GlissandoS,Answer4,5.2
10_21_14_51_38,GlissandoS,Answer5,4.1
10_21_14_51_38,GlissandoS,Answer6,3.4
10_21_13_54_7,Silenzio,Answer1,2.4
10_21_13_54_7,Silenzio,Answer2,2.8
10_21_13_54_7,Silenzio,Answer3,6.9
10_21_13_54_7,Silenzio,Answer4,8.5
10_21_13_54_7,Silenzio,Answer5,0.5
10_21_13_54_7,Silenzio,Answer6,0
10_21_13_37_22,GlissandoF,Answer1,8.5
10_21_13_37_22,GlissandoF,Answer2,8
10_21_13_37_22,GlissandoF,Answer3,1.8
10_21_13_37_22,GlissandoF,Answer4,7.2
10_21_13_37_22,GlissandoF,Answer5,2
10_21_13_37_22,GlissandoF,Answer6,6.5
10_21_13_23_28,GlissandoM,Answer1,5
