Participant,FirstID,Condition,GestureF,IncorrectF,CorrectF,ErrorRateF,ReturnID,GestureR,IncorrectR,CorrectR,ErrorRateR,IncorrectT,CorrectT,ErrorRateT,,
25,829043832,Glissando,FlickLeft,0,5,0,905035341,FlickLeft,0,5,0,0,10,0,,
25,829044409,Glissando,FlickRight,0,5,0,905035750,FlickRight,1,5,0.166666667,1,10,0.090909091,,
25,829044114,Glissando,FlickUp,0,5,0,905035534,FlickUp,0,5,0,0,10,0,,
25,829044214,Glissando,ALL,1,25,0.038461538,905035613,ALL,4,25,0.137931034,5,50,0.090909091,,
26,829045537,Control,DoubleFlip,1,5,0.166666667,905020942,DoubleFlip,1,5,0.166666667,2,10,0.166666667,,
26,829045721,Control,FlickDown,1,5,0.166666667,905021129,FlickDown,0,5,0,1,10,0.090909091,,
26,829045330,Control,FlickLeft,0,5,0,905020725,FlickLeft,0,5,0,0,10,0,,
26,829045635,Control,FlickRight,0,5,0,905021043,FlickRight,1,5,0.166666667,1,10,0.090909091,,
26,829045438,Control,FlickUp,0,5,0,905020857,FlickUp,0,5,0,0,10,0,,
26,829045537,Control,ALL,2,25,0.074074074,905020942,ALL,2,25,0.074074074,4,50,0.074074074,,
28,901213252,Control,DoubleFlip,0,5,0,908215557,DoubleFlip,1,5,0.166666667,1,10,0.090909091,,
28,901213424,Control,FlickDown,0,5,0,908215727,FlickDown,0,5,0,0,10,0,,
28,901213006,Control,FlickLeft,0,5,0,908215328,FlickLeft,3,5,0.375,3,10,0.230769231,,
28,901213339,Control,FlickRight,0,5,0,908215644,FlickRight,0,5,0,0,10,0,,
28,901213153,Control,FlickUp,0,5,0,908215514,FlickUp,0,5,0,0,10,0,,
28,901213252,Control,ALL,0,25,0,908215557,ALL,4,25,0.137931034,4,50,0.074074074,,
29,901222226,Glissando,DoubleFlip,0,5,0,909011137,DoubleFlip,0,5,0,0,10,0,,
29,901222405,Glissando,FlickDown,0,5,0,909011304,FlickDown,0,5,0,0,10,0,,
29,901221857,Glissando,FlickLeft,0,5,0,909010921,FlickLeft,0,5,0,0,10,0,,
29,901222319,Glissando,FlickRight,1,5,0.166666667,909011221,FlickRight,0,5,0,1,10,0.090909091,,
29,901222138,Glissando,FlickUp,0,5,0,909011050,FlickUp,0,5,0,0,10,0,,
