Participant,ParticipantID,Condition,Trial,Gesture,AttemptNumber,Outcome,GestureLength(ns),IdealGestureLength,Difference,ABSDifference,,,,
8,904235459,Control,Return,DoubleFlip,1,Incorrect,8.54E+02,1.01E+03,1.56E+02,1.56E+02,,,,
8,904235459,Control,Return,DoubleFlip,2,Incorrect,1.98E+02,1.01E+03,8.12E+02,8.12E+02,,,,
8,904235459,Control,Return,DoubleFlip,3,Incorrect,5.41E+01,1.01E+03,9.56E+02,9.56E+02,,,,
8,904235459,Control,Return,DoubleFlip,4,Incorrect,2.55E+02,1.01E+03,7.55E+02,7.55E+02,,,,
8,904235459,Control,Return,DoubleFlip,5,Incorrect,1.01E+02,1.01E+03,9.09E+02,9.09E+02,,,,
8,904235459,Control,Return,DoubleFlip,6,Incorrect,2.08E+01,1.01E+03,9.89E+02,9.89E+02,,,,
8,904235459,Control,Return,DoubleFlip,7,Incorrect,5.80E+01,1.01E+03,9.52E+02,9.52E+02,,,,
8,904235459,Control,Return,DoubleFlip,8,Aborted,5.80E+01,1.01E+03,9.52E+02,9.52E+02,,,,
8,904235459,Control,Return,DoubleFlip,9,Aborted,5.80E+01,1.01E+03,9.52E+02,9.52E+02,,,,
8,904235459,Control,Return,DoubleFlip,10,Incorrect,3.88E+02,1.01E+03,6.22E+02,6.22E+02,,,,
8,904235459,Control,Return,DoubleFlip,11,Aborted,3.88E+02,1.01E+03,6.22E+02,6.22E+02,,,,
8,904235459,Control,Return,DoubleFlip,12,Incorrect,7.79E+02,1.01E+03,2.31E+02,2.31E+02,,,,
8,904235813,Control,Return,FlickDown,0,Incorrect,7.67E+01,1.00E+03,9.27E+02,9.27E+02,,,,
8,904235813,Control,Return,FlickDown,1,Incorrect,5.98E+01,1.00E+03,9.44E+02,9.44E+02,,,,
8,904235813,Control,Return,FlickDown,2,Incorrect,1.96E+02,1.00E+03,8.08E+02,8.08E+02,,,,
8,904235813,Control,Return,FlickDown,3,Incorrect,4.02E+02,1.00E+03,6.02E+02,6.02E+02,,,,
8,904235813,Control,Return,FlickDown,4,Correct,1.17E+03,1.00E+03,-1.65E+02,1.65E+02,,,,
8,904235813,Control,Return,FlickDown,5,Correct,4.16E+02,1.00E+03,5.88E+02,5.88E+02,,,,
8,904235813,Control,Return,FlickDown,6,Correct,2.89E+02,1.00E+03,7.15E+02,7.15E+02,,,,
8,904235813,Control,Return,FlickDown,7,Correct,2.67E+02,1.00E+03,7.37E+02,7.37E+02,,,,
8,904235813,Control,Return,FlickDown,8,Correct,1.73E+02,1.00E+03,8.31E+02,8.31E+02,,,,
8,904235225,Control,Return,FlickLeft,0,Correct,1.15E+03,1.01E+03,-1.50E+02,1.50E+02,,,,
8,904235225,Control,Return,FlickLeft,1,Correct,4.95E+02,1.01E+03,5.10E+02,5.10E+02,,,,
8,904235225,Control,Return,FlickLeft,2,Correct,3.06E+02,1.01E+03,6.99E+02,6.99E+02,,,,
8,904235225,Control,Return,FlickLeft,3,Correct,1.85E+02,1.01E+03,8.20E+02,8.20E+02,,,,
8,904235225,Control,Return,FlickLeft,4,Correct,2.66E+02,1.01E+03,7.39E+02,7.39E+02,,,,
8,904235726,Control,Return,FlickRight,0,Correct,1.24E+03,1.00E+03,-2.34E+02,2.34E+02,,,,
8,904235726,Control,Return,FlickRight,1,Correct,8.57E+02,1.00E+03,1.47E+02,1.47E+02,,,,
8,904235726,Control,Return,FlickRight,2,Correct,4.58E+02,1.00E+03,5.46E+02,5.46E+02,,,,
8,904235726,Control,Return,FlickRight,3,Correct,6.61E+02,1.00E+03,3.43E+02,3.43E+02,,,,
8,904235726,Control,Return,FlickRight,4,Correct,2.28E+02,1.00E+03,7.76E+02,7.76E+02,,,,
8,904235404,Control,Return,FlickUp,0,Aborted,0.00E+00,1.01E+03,1.01E+03,1.01E+03,,,,
8,904235404,Control,Return,FlickUp,1,Correct,2.82E+03,1.01E+03,-1.82E+03,1.82E+03,,,,
8,904235404,Control,Return,FlickUp,2,Correct,5.00E+02,1.01E+03,5.07E+02,5.07E+02,,,,
8,904235404,Control,Return,FlickUp,3,Correct,7.42E+02,1.01E+03,2.65E+02,2.65E+02,,,,
8,904235404,Control,Return,FlickUp,4,Correct,4.70E+02,1.01E+03,5.37E+02,5.37E+02,,,,
8,904235404,Control,Return,FlickUp,5,Correct,3.75E+02,1.01E+03,6.32E+02,6.32E+02,,,,
9,828233757,Glissando,First,DoubleFlip,0,Correct,5.36E+02,1.01E+03,4.74E+02,4.74E+02,,,,
9,828233757,Glissando,First,DoubleFlip,1,Correct,5.31E+02,1.01E+03,4.79E+02,4.79E+02,,,,
9,828233757,Glissando,First,DoubleFlip,2,Correct,4.27E+02,1.01E+03,5.83E+02,5.83E+02,,,,
9,828233757,Glissando,First,DoubleFlip,3,Correct,3.91E+02,1.01E+03,6.19E+02,6.19E+02,,,,
9,828233757,Glissando,First,DoubleFlip,4,Correct,4.53E+02,1.01E+03,5.57E+02,5.57E+02,,,,
9,828233956,Glissando,First,FlickDown,0,Correct,3.48E+02,1.00E+03,6.56E+02,6.56E+02,,,,
9,828233956,Glissando,First,FlickDown,1,Correct,3.55E+02,1.00E+03,6.49E+02,6.49E+02,,,,
9,828233956,Glissando,First,FlickDown,2,NotFarEnough,5.70E+02,1.00E+03,4.34E+02,4.34E+02,,,,
9,828233956,Glissando,First,FlickDown,3,Correct,6.41E+02,1.00E+03,3.63E+02,3.63E+02,,,,
9,828233956,Glissando,First,FlickDown,4,Correct,5.32E+02,1.00E+03,4.72E+02,4.72E+02,,,,
9,828233956,Glissando,First,FlickDown,5,Correct,4.12E+02,1.00E+03,5.92E+02,5.92E+02,,,,
9,828233427,Glissando,First,FlickLeft,0,Correct,5.13E+02,1.01E+03,4.92E+02,4.92E+02,,,,
9,828233427,Glissando,First,FlickLeft,1,Correct,4.08E+02,1.01E+03,5.97E+02,5.97E+02,,,,
9,828233427,Glissando,First,FlickLeft,2,Correct,5.55E+02,1.01E+03,4.50E+02,4.50E+02,,,,
9,828233427,Glissando,First,FlickLeft,3,Correct,4.46E+02,1.01E+03,5.59E+02,5.59E+02,,,,
9,828233427,Glissando,First,FlickLeft,4,Correct,3.77E+02,1.01E+03,6.28E+02,6.28E+02,,,,
9,828233855,Glissando,First,FlickRight,0,Correct,4.73E+02,1.00E+03,5.31E+02,5.31E+02,,,,
9,828233855,Glissando,First,FlickRight,1,NotFarEnough,2.70E+02,1.00E+03,7.34E+02,7.34E+02,,,,
9,828233855,Glissando,First,FlickRight,2,TwistedRight,1.01E+02,1.00E+03,9.03E+02,9.03E+02,,,,
9,828233855,Glissando,First,FlickRight,3,Correct,4.58E+02,1.00E+03,5.46E+02,5.46E+02,,,,
9,828233855,Glissando,First,FlickRight,4,Correct,4.85E+02,1.00E+03,5.19E+02,5.19E+02,,,,
9,828233855,Glissando,First,FlickRight,5,Correct,4.50E+02,1.00E+03,5.54E+02,5.54E+02,,,,
9,828233855,Glissando,First,FlickRight,6,Correct,4.39E+02,1.00E+03,5.65E+02,5.65E+02,,,,
9,828233702,Glissando,First,FlickUp,0,Correct,5.08E+02,1.01E+03,4.99E+02,4.99E+02,,,,
9,828233702,Glissando,First,FlickUp,1,Correct,4.16E+02,1.01E+03,5.91E+02,5.91E+02,,,,
9,828233702,Glissando,First,FlickUp,2,Correct,5.59E+02,1.01E+03,4.48E+02,4.48E+02,,,,
9,828233702,Glissando,First,FlickUp,3,Correct,6.00E+02,1.01E+03,4.07E+02,4.07E+02,,,,
9,828233702,Glissando,First,FlickUp,4,Correct,5.84E+02,1.01E+03,4.23E+02,4.23E+02,,,,
9,904232131,Glissando,Return,DoubleFlip,0,Correct,5.13E+02,1.01E+03,4.97E+02,4.97E+02,,,,
9,904232131,Glissando,Return,DoubleFlip,1,Correct,3.80E+02,1.01E+03,6.30E+02,6.30E+02,,,,
9,904232131,Glissando,Return,DoubleFlip,2,Correct,3.36E+02,1.01E+03,6.74E+02,6.74E+02,,,,
9,904232131,Glissando,Return,DoubleFlip,3,Correct,3.81E+02,1.01E+03,6.29E+02,6.29E+02,,,,
9,904232131,Glissando,Return,DoubleFlip,4,Correct,3.80E+02,1.01E+03,6.30E+02,6.30E+02,,,,
9,904232325,Glissando,Return,FlickDown,0,Correct,5.91E+02,1.00E+03,4.13E+02,4.13E+02,,,,
9,904232325,Glissando,Return,FlickDown,1,Correct,5.79E+02,1.00E+03,4.25E+02,4.25E+02,,,,
9,904232325,Glissando,Return,FlickDown,2,Correct,5.60E+02,1.00E+03,4.44E+02,4.44E+02,,,,
9,904232325,Glissando,Return,FlickDown,3,Correct,4.72E+02,1.00E+03,5.32E+02,5.32E+02,,,,
9,904232325,Glissando,Return,FlickDown,4,Correct,3.50E+02,1.00E+03,6.54E+02,6.54E+02,,,,
9,904231909,Glissando,Return,FlickLeft,0,Correct,4.26E+02,1.01E+03,5.79E+02,5.79E+02,,,,
9,904231909,Glissando,Return,FlickLeft,1,Correct,4.25E+02,1.01E+03,5.80E+02,5.80E+02,,,,
9,904231909,Glissando,Return,FlickLeft,2,Correct,5.04E+02,1.01E+03,5.01E+02,5.01E+02,,,,
9,904231909,Glissando,Return,FlickLeft,3,Correct,5.33E+02,1.01E+03,4.72E+02,4.72E+02,,,,
9,904231909,Glissando,Return,FlickLeft,4,Correct,5.13E+02,1.01E+03,4.92E+02,4.92E+02,,,,
9,904232235,Glissando,Return,FlickRight,0,Correct,3.36E+02,1.00E+03,6.68E+02,6.68E+02,,,,
9,904232235,Glissando,Return,FlickRight,1,Correct,4.78E+02,1.00E+03,5.26E+02,5.26E+02,,,,
9,904232235,Glissando,Return,FlickRight,2,Incorrect,1.00E+02,1.00E+03,9.04E+02,9.04E+02,,,,
9,904232235,Glissando,Return,FlickRight,3,Correct,3.14E+02,1.00E+03,6.90E+02,6.90E+02,,,,
9,904232235,Glissando,Return,FlickRight,4,Correct,3.75E+02,1.00E+03,6.29E+02,6.29E+02,,,,
9,904232235,Glissando,Return,FlickRight,5,Correct,3.24E+02,1.00E+03,6.80E+02,6.80E+02,,,,
9,904232036,Glissando,Return,FlickUp,0,Correct,5.07E+02,1.01E+03,5.00E+02,5.00E+02,,,,
9,904232036,Glissando,Return,FlickUp,1,Correct,5.47E+02,1.01E+03,4.60E+02,4.60E+02,,,,
9,904232036,Glissando,Return,FlickUp,2,Correct,5.72E+02,1.01E+03,4.35E+02,4.35E+02,,,,
9,904232036,Glissando,Return,FlickUp,3,Correct,4.33E+02,1.01E+03,5.74E+02,5.74E+02,,,,
9,904232036,Glissando,Return,FlickUp,4,Correct,3.62E+02,1.01E+03,6.45E+02,6.45E+02,,,,
10,829000540,Control,First,DoubleFlip,0,Correct,3.77E+02,1.01E+03,6.33E+02,6.33E+02,,,,
10,829000540,Control,First,DoubleFlip,1,Correct,4.53E+02,1.01E+03,5.57E+02,5.57E+02,,,,
10,829000540,Control,First,DoubleFlip,2,Correct,4.17E+02,1.01E+03,5.93E+02,5.93E+02,,,,
10,829000540,Control,First,DoubleFlip,3,Correct,2.77E+02,1.01E+03,7.33E+02,7.33E+02,,,,
10,829000540,Control,First,DoubleFlip,4,Correct,3.07E+02,1.01E+03,7.03E+02,7.03E+02,,,,
10,829000724,Control,First,FlickDown,0,Correct,5.43E+02,1.00E+03,4.61E+02,4.61E+02,,,,
10,829000724,Control,First,FlickDown,1,Correct,4.93E+02,1.00E+03,5.11E+02,5.11E+02,,,,
10,829000724,Control,First,FlickDown,2,Correct,4.09E+02,1.00E+03,5.95E+02,5.95E+02,,,,
10,829000724,Control,First,FlickDown,3,Correct,6.46E+02,1.00E+03,3.58E+02,3.58E+02,,,,
10,829000724,Control,First,FlickDown,4,Correct,7.04E+02,1.00E+03,3.00E+02,3.00E+02,,,,
10,829000217,Control,First,FlickLeft,0,Incorrect,7.70E+01,1.01E+03,9.28E+02,9.28E+02,,,,
10,829000217,Control,First,FlickLeft,1,Correct,1.23E+03,1.01E+03,-2.26E+02,2.26E+02,,,,
10,829000217,Control,First,FlickLeft,2,Correct,7.71E+02,1.01E+03,2.34E+02,2.34E+02,,,,
10,829000217,Control,First,FlickLeft,3,Correct,5.31E+02,1.01E+03,4.74E+02,4.74E+02,,,,
10,829000217,Control,First,FlickLeft,4,Correct,6.25E+02,1.01E+03,3.80E+02,3.80E+02,,,,
10,829000217,Control,First,FlickLeft,5,Correct,5.65E+02,1.01E+03,4.40E+02,4.40E+02,,,,
10,829000638,Control,First,FlickRight,0,Correct,3.81E+02,1.00E+03,6.23E+02,6.23E+02,,,,
10,829000638,Control,First,FlickRight,1,Correct,4.26E+02,1.00E+03,5.78E+02,5.78E+02,,,,
10,829000638,Control,First,FlickRight,2,Correct,2.02E+02,1.00E+03,8.02E+02,8.02E+02,,,,
10,829000638,Control,First,FlickRight,3,Correct,1.81E+02,1.00E+03,8.23E+02,8.23E+02,,,,
10,829000638,Control,First,FlickRight,4,Correct,2.69E+02,1.00E+03,7.35E+02,7.35E+02,,,,
10,829000427,Control,First,FlickUp,0,Correct,3.17E+02,1.01E+03,6.90E+02,6.90E+02,,,,
10,829000427,Control,First,FlickUp,1,Correct,3.99E+02,1.01E+03,6.08E+02,6.08E+02,,,,
10,829000427,Control,First,FlickUp,2,Incorrect,2.87E+02,1.01E+03,7.20E+02,7.20E+02,,,,
10,829000427,Control,First,FlickUp,3,Incorrect,3.48E+02,1.01E+03,6.59E+02,6.59E+02,,,,
10,829000427,Control,First,FlickUp,4,Correct,3.95E+02,1.01E+03,6.12E+02,6.12E+02,,,,
10,829000427,Control,First,FlickUp,5,Correct,4.82E+02,1.01E+03,5.25E+02,5.25E+02,,,,
10,829000427,Control,First,FlickUp,6,Correct,6.25E+02,1.01E+03,3.82E+02,3.82E+02,,,,
10,905015939,Control,Return,DoubleFlip,0,Correct,3.23E+02,1.01E+03,6.87E+02,6.87E+02,,,,
10,905015939,Control,Return,DoubleFlip,1,Incorrect,1.54E+02,1.01E+03,8.56E+02,8.56E+02,,,,
10,905015939,Control,Return,DoubleFlip,2,Correct,2.06E+02,1.01E+03,8.04E+02,8.04E+02,,,,
