NID,FID,Group,GestureF,IncorrectF,CorrectF,RatioF,RID,GestureR,IncorrectR,CorrectR,RatioR,IncorrectT,CorrectT,RatioT,,
24,829043202,Control,DF,0,5,1,905023704,DF,0,5,1,0,10,1,,
24,829043344,Control,FD,0,5,1,905023828,FD,0,5,1,0,10,1,,
24,829042744,Control,FL,1,5,0.833333333,905023454,FL,0,5,1,1,10,0.909090909,,
24,829043256,Control,FR,1,5,0.833333333,905023747,FR,0,5,1,1,10,0.909090909,,
24,829043039,Control,FU,0,5,1,905023622,FU,0,5,1,0,10,1,,
24,829043202,Control,ALL,2,25,0.925925926,905023704,ALL,0,25,1,2,50,0.961538462,,
25,829044214,Glissando,DF,1,5,0.833333333,905035613,DF,3,5,0.625,4,10,0.714285714,,
25,829044500,Glissando,FD,0,5,1,905035837,FD,0,5,1,0,10,1,,
25,829043832,Glissando,FL,0,5,1,905035341,FL,0,5,1,0,10,1,,
25,829044409,Glissando,FR,0,5,1,905035750,FR,1,5,0.833333333,1,10,0.909090909,,
25,829044114,Glissando,FU,0,5,1,905035534,FU,0,5,1,0,10,1,,
25,829044214,Glissando,ALL,1,25,0.961538462,905035613,ALL,4,25,0.862068966,5,50,0.909090909,,
26,829045537,Control,DF,1,5,0.833333333,905020942,DF,1,5,0.833333333,2,10,0.833333333,,
26,829045721,Control,FD,1,5,0.833333333,905021129,FD,0,5,1,1,10,0.909090909,,
26,829045330,Control,FL,0,5,1,905020725,FL,0,5,1,0,10,1,,
26,829045635,Control,FR,0,5,1,905021043,FR,1,5,0.833333333,1,10,0.909090909,,
26,829045438,Control,FU,0,5,1,905020857,FU,0,5,1,0,10,1,,
26,829045537,Control,ALL,2,25,0.925925926,905020942,ALL,2,25,0.925925926,4,50,0.925925926,,
28,901213252,Control,DF,0,5,1,908215557,DF,1,5,0.833333333,1,10,0.909090909,,
28,901213424,Control,FD,0,5,1,908215727,FD,0,5,1,0,10,1,,
28,901213006,Control,FL,0,5,1,908215328,FL,3,5,0.625,3,10,0.769230769,,
28,901213339,Control,FR,0,5,1,908215644,FR,0,5,1,0,10,1,,
28,901213153,Control,FU,0,5,1,908215514,FU,0,5,1,0,10,1,,
28,901213252,Control,ALL,0,25,1,908215557,ALL,4,25,0.862068966,4,50,0.925925926,,
29,901222226,Glissando,DF,0,5,1,909011137,DF,0,5,1,0,10,1,,
29,901222405,Glissando,FD,0,5,1,909011304,FD,0,5,1,0,10,1,,
29,901221857,Glissando,FL,0,5,1,909010921,FL,0,5,1,0,10,1,,
29,901222319,Glissando,FR,1,5,0.833333333,909011221,FR,0,5,1,1,10,0.909090909,,
29,901222138,Glissando,FU,0,5,1,909011050,FU,0,5,1,0,10,1,,
29,901222226,Glissando,ALL,1,25,0.961538462,909011137,ALL,0,25,1,1,50,0.980392157,,
30,901231941,Control,DF,1,5,0.833333333,908233341,DF,2,5,0.714285714,3,10,0.769230769,,
30,901232126,Control,FD,0,5,1,908233509,FD,1,5,0.833333333,1,10,0.909090909,,
30,901231638,Control,FL,0,5,1,908233053,FL,13,5,0.277777778,13,10,0.434782609,,
30,901232031,Control,FR,3,5,0.625,908233431,FR,0,5,1,3,10,0.769230769,,
30,901231845,Control,FU,1,5,0.833333333,908233254,FU,0,5,1,1,10,0.909090909,,
30,901231941,Control,ALL,5,25,0.833333333,908233341,ALL,16,25,0.609756098,21,50,0.704225352,,
31,902000208,Glissando,DF,1,5,0.833333333,909235005,DF,7,5,0.416666667,8,10,0.555555556,,
31,902000431,Glissando,FD,0,5,1,909235244,FD,0,5,1,0,10,1,,
31,901235733,Glissando,FL,1,5,0.833333333,909234751,FL,0,5,1,1,10,0.909090909,,
31,902000333,Glissando,FR,2,5,0.714285714,909235156,FR,1,5,0.833333333,3,10,0.769230769,,
31,902000029,Glissando,FU,2,5,0.714285714,909234920,FU,0,5,1,2,10,0.833333333,,
31,902000208,Glissando,ALL,6,25,0.806451613,909235005,ALL,8,25,0.757575758,14,50,0.78125,,
32,902001041,Control,DF,0,5,1,909022517,DF,0,5,1,0,10,1,,
32,902001225,Control,FD,0,5,1,909022644,FD,0,5,1,0,10,1,,
32,902000657,Control,FL,0,5,1,909022333,FL,1,5,0.833333333,1,10,0.909090909,,
32,902001139,Control,FR,0,5,1,909022601,FR,0,5,1,0,10,1,,
32,902000940,Control,FU,0,5,1,909022424,FU,0,5,1,0,10,1,,
32,902001041,Control,ALL,0,25,1,909022517,ALL,1,25,0.961538462,1,50,0.980392157,,
33,902001832,Glissando,DF,0,5,1,909025754,DF,0,5,1,0,10,1,,
33,902002019,Glissando,FD,0,5,1,909025938,FD,0,5,1,0,10,1,,
33,902001426,Glissando,FL,0,5,1,909025610,FL,0,5,1,0,10,1,,
33,902001931,Glissando,FR,0,5,1,909025841,FR,0,5,1,0,10,1,,
33,902001717,Glissando,FU,0,5,1,909025703,FU,0,5,1,0,10,1,,
33,902001832,Glissando,ALL,0,25,1,909025754,ALL,0,25,1,0,50,1,,
34,902002755,Control,DF,0,5,1,909001546,DF,0,5,1,0,10,1,,
34,902002945,Control,FD,0,5,1,909001759,FD,0,5,1,0,10,1,,
34,902002326,Control,FL,0,5,1,909001249,FL,0,5,1,0,10,1,,
