ParticipantID,Condition,Participated,Question,Answer,Group,LongQuestion
10_19_17_51_21,GlissandoS,no,Q4,10,Glissando,Audio feedback did not help me learn the timing of the gesture
10_19_18_19_19,Silenzio,no,Q1,8.77,Control,Audio feedback helped me learn the movement of the gesture
10_19_18_19_19,Silenzio,no,Q2,9.77,Control,Audio feedback did not help me learn the movement of the gesture
10_19_18_19_19,Silenzio,no,Q3,0.15,Control,Audio feedback helped me learn the timing of the gesture
10_19_18_19_19,Silenzio,no,Q4,8.92,Control,Audio feedback did not help me learn the timing of the gesture
10_19_18_2_35,GlissandoF,no,Q1,9.62,Glissando,Audio feedback helped me learn the movement of the gesture
10_19_18_2_35,GlissandoF,no,Q2,7.54,Glissando,Audio feedback did not help me learn the movement of the gesture
10_19_18_2_35,GlissandoF,no,Q3,0.62,Glissando,Audio feedback helped me learn the timing of the gesture
10_19_18_2_35,GlissandoF,no,Q4,7.15,Glissando,Audio feedback did not help me learn the timing of the gesture
10_19_18_31_56,GlissandoM,yes,Q1,8.31,Glissando,Audio feedback helped me learn the movement of the gesture
10_19_18_31_56,GlissandoM,yes,Q2,9.46,Glissando,Audio feedback did not help me learn the movement of the gesture
10_19_18_31_56,GlissandoM,yes,Q3,0.69,Glissando,Audio feedback helped me learn the timing of the gesture
10_19_18_31_56,GlissandoM,yes,Q4,7.77,Glissando,Audio feedback did not help me learn the timing of the gesture
10_20_12_1_52,GlissandoS,no,Q1,10,Glissando,Audio feedback helped me learn the movement of the gesture
10_20_12_1_52,GlissandoS,no,Q2,3.38,Glissando,Audio feedback did not help me learn the movement of the gesture
10_20_12_1_52,GlissandoS,no,Q3,5.31,Glissando,Audio feedback helped me learn the timing of the gesture
10_20_12_1_52,GlissandoS,no,Q4,0,Glissando,Audio feedback did not help me learn the timing of the gesture
10_20_12_42_30,GlissandoF,no,Q1,10,Glissando,Audio feedback helped me learn the movement of the gesture
10_20_12_42_30,GlissandoF,no,Q2,0,Glissando,Audio feedback did not help me learn the movement of the gesture
10_20_12_42_30,GlissandoF,no,Q3,10,Glissando,Audio feedback helped me learn the timing of the gesture
10_20_12_42_30,GlissandoF,no,Q4,10,Glissando,Audio feedback did not help me learn the timing of the gesture
10_20_12_51_13,GlissandoM,yes,Q1,8.92,Glissando,Audio feedback helped me learn the movement of the gesture
10_20_12_51_13,GlissandoM,yes,Q2,8.46,Glissando,Audio feedback did not help me learn the movement of the gesture
10_20_12_51_13,GlissandoM,yes,Q3,0,Glissando,Audio feedback helped me learn the timing of the gesture
10_20_12_51_13,GlissandoM,yes,Q4,8.15,Glissando,Audio feedback did not help me learn the timing of the gesture
10_20_13_10_13,Silenzio,no,Q1,6.15,Control,Audio feedback helped me learn the movement of the gesture
10_20_13_10_13,Silenzio,no,Q2,7.69,Control,Audio feedback did not help me learn the movement of the gesture
10_20_13_10_13,Silenzio,no,Q3,1.92,Control,Audio feedback helped me learn the timing of the gesture
10_20_13_10_13,Silenzio,no,Q4,6.77,Control,Audio feedback did not help me learn the timing of the gesture
10_20_13_47_42,GlissandoS,no,Q1,7.23,Glissando,Audio feedback helped me learn the movement of the gesture
10_20_13_47_42,GlissandoS,no,Q2,5.15,Glissando,Audio feedback did not help me learn the movement of the gesture
10_20_13_47_42,GlissandoS,no,Q3,3.31,Glissando,Audio feedback helped me learn the timing of the gesture
10_20_13_47_42,GlissandoS,no,Q4,7.77,Glissando,Audio feedback did not help me learn the timing of the gesture
10_20_14_26_46,GlissandoM,yes,Q1,2.46,Glissando,Audio feedback helped me learn the movement of the gesture
10_20_14_26_46,GlissandoM,yes,Q2,2.31,Glissando,Audio feedback did not help me learn the movement of the gesture
10_20_14_26_46,GlissandoM,yes,Q3,6.38,Glissando,Audio feedback helped me learn the timing of the gesture
10_20_14_26_46,GlissandoM,yes,Q4,2.46,Glissando,Audio feedback did not help me learn the timing of the gesture
10_20_14_58_46,Silenzio,no,Q1,2.62,Control,Audio feedback helped me learn the movement of the gesture
10_20_14_58_46,Silenzio,no,Q2,1.69,Control,Audio feedback did not help me learn the movement of the gesture
10_20_14_58_46,Silenzio,no,Q3,5.92,Control,Audio feedback helped me learn the timing of the gesture
10_20_14_58_46,Silenzio,no,Q4,4.08,Control,Audio feedback did not help me learn the timing of the gesture
10_20_14_9_41,GlissandoF,no,Q1,10,Glissando,Audio feedback helped me learn the movement of the gesture
10_20_14_9_41,GlissandoF,no,Q2,10,Glissando,Audio feedback did not help me learn the movement of the gesture
10_20_14_9_41,GlissandoF,no,Q3,0,Glissando,Audio feedback helped me learn the timing of the gesture
10_20_14_9_41,GlissandoF,no,Q4,10,Glissando,Audio feedback did not help me learn the timing of the gesture
10_20_15_24_23,GlissandoS,no,Q1,8.69,Glissando,Audio feedback helped me learn the movement of the gesture
10_20_15_24_23,GlissandoS,no,Q2,6.23,Glissando,Audio feedback did not help me learn the movement of the gesture
10_20_15_24_23,GlissandoS,no,Q3,0.46,Glissando,Audio feedback helped me learn the timing of the gesture
10_20_15_24_23,GlissandoS,no,Q4,8.62,Glissando,Audio feedback did not help me learn the timing of the gesture
10_20_15_51_6,GlissandoF,no,Q1,8.54,Glissando,Audio feedback helped me learn the movement of the gesture
10_20_15_51_6,GlissandoF,no,Q2,8.62,Glissando,Audio feedback did not help me learn the movement of the gesture
10_20_15_51_6,GlissandoF,no,Q3,0.15,Glissando,Audio feedback helped me learn the timing of the gesture
10_20_15_51_6,GlissandoF,no,Q4,9.62,Glissando,Audio feedback did not help me learn the timing of the gesture
10_20_16_12_17,GlissandoM,yes,Q1,7.54,Glissando,Audio feedback helped me learn the movement of the gesture
10_20_16_12_17,GlissandoM,yes,Q2,3.46,Glissando,Audio feedback did not help me learn the movement of the gesture
10_20_16_12_17,GlissandoM,yes,Q3,8.08,Glissando,Audio feedback helped me learn the timing of the gesture
10_20_16_12_17,GlissandoM,yes,Q4,7.54,Glissando,Audio feedback did not help me learn the timing of the gesture
10_20_16_31_1,Silenzio,no,Q1,8.31,Control,Audio feedback helped me learn the movement of the gesture
10_20_16_31_1,Silenzio,no,Q2,8.31,Control,Audio feedback did not help me learn the movement of the gesture
10_20_16_31_1,Silenzio,no,Q3,0.31,Control,Audio feedback helped me learn the timing of the gesture
10_20_16_31_1,Silenzio,no,Q4,5,Control,Audio feedback did not help me learn the timing of the gesture
10_20_17_20_25,GlissandoF,no,Q1,1,Glissando,Audio feedback helped me learn the movement of the gesture
10_20_17_20_25,GlissandoF,no,Q2,0.85,Glissando,Audio feedback did not help me learn the movement of the gesture
10_20_17_20_25,GlissandoF,no,Q3,6.46,Glissando,Audio feedback helped me learn the timing of the gesture
10_20_17_20_25,GlissandoF,no,Q4,9.46,Glissando,Audio feedback did not help me learn the timing of the gesture
10_20_17_35_57,GlissandoS,yes,Q1,1.08,Glissando,Audio feedback helped me learn the movement of the gesture
10_20_17_35_57,GlissandoS,yes,Q2,0.85,Glissando,Audio feedback did not help me learn the movement of the gesture
10_20_17_35_57,GlissandoS,yes,Q3,6.31,Glissando,Audio feedback helped me learn the timing of the gesture
10_20_17_35_57,GlissandoS,yes,Q4,2.23,Glissando,Audio feedback did not help me learn the timing of the gesture
10_20_17_52_33,Silenzio,no,Q1,9.77,Control,Audio feedback helped me learn the movement of the gesture
10_20_17_52_33,Silenzio,no,Q2,9.77,Control,Audio feedback did not help me learn the movement of the gesture
10_20_17_52_33,Silenzio,no,Q3,0.15,Control,Audio feedback helped me learn the timing of the gesture
10_20_17_52_33,Silenzio,no,Q4,9.85,Control,Audio feedback did not help me learn the timing of the gesture
10_20_17_7_39,GlissandoS,no,Q1,7.85,Glissando,Audio feedback helped me learn the movement of the gesture
10_20_17_7_39,GlissandoS,no,Q2,3.23,Glissando,Audio feedback did not help me learn the movement of the gesture
10_20_17_7_39,GlissandoS,no,Q3,2.85,Glissando,Audio feedback helped me learn the timing of the gesture
10_20_17_7_39,GlissandoS,no,Q4,7.62,Glissando,Audio feedback did not help me learn the timing of the gesture
10_21_11_50_54,GlissandoS,no,Q1,6.62,Glissando,Audio feedback helped me learn the movement of the gesture
10_21_11_50_54,GlissandoS,no,Q2,3.23,Glissando,Audio feedback did not help me learn the movement of the gesture
10_21_11_50_54,GlissandoS,no,Q3,5.38,Glissando,Audio feedback helped me learn the timing of the gesture
10_21_11_50_54,GlissandoS,no,Q4,6.31,Glissando,Audio feedback did not help me learn the timing of the gesture
10_21_12_46_30,GlissandoF,no,Q1,6.54,Glissando,Audio feedback helped me learn the movement of the gesture
10_21_12_46_30,GlissandoF,no,Q2,4.92,Glissando,Audio feedback did not help me learn the movement of the gesture
10_21_12_46_30,GlissandoF,no,Q3,4.92,Glissando,Audio feedback helped me learn the timing of the gesture
10_21_12_46_30,GlissandoF,no,Q4,4.62,Glissando,Audio feedback did not help me learn the timing of the gesture
10_21_13_23_28,GlissandoS,no,Q1,5,Glissando,Audio feedback helped me learn the movement of the gesture
10_21_13_23_28,GlissandoS,no,Q2,2,Glissando,Audio feedback did not help me learn the movement of the gesture
10_21_13_23_28,GlissandoS,no,Q3,2,Glissando,Audio feedback helped me learn the timing of the gesture
10_21_13_23_28,GlissandoS,no,Q4,7,Glissando,Audio feedback did not help me learn the timing of the gesture
10_21_13_37_22,GlissandoF,no,Q1,8.46,Glissando,Audio feedback helped me learn the movement of the gesture
10_21_13_37_22,GlissandoF,no,Q2,8,Glissando,Audio feedback did not help me learn the movement of the gesture
10_21_13_37_22,GlissandoF,no,Q3,1.85,Glissando,Audio feedback helped me learn the timing of the gesture
10_21_13_37_22,GlissandoF,no,Q4,7.23,Glissando,Audio feedback did not help me learn the timing of the gesture
10_21_13_54_7,GlissandoS,yes,Q1,2.38,Glissando,Audio feedback helped me learn the movement of the gesture
10_21_13_54_7,GlissandoS,yes,Q2,2.85,Glissando,Audio feedback did not help me learn the movement of the gesture
10_21_13_54_7,GlissandoS,yes,Q3,6.92,Glissando,Audio feedback helped me learn the timing of the gesture
10_21_13_54_7,GlissandoS,yes,Q4,8.54,Glissando,Audio feedback did not help me learn the timing of the gesture
10_21_14_51_38,Silenzio,no,Q1,10,Control,Audio feedback helped me learn the movement of the gesture
10_21_14_51_38,Silenzio,no,Q2,10,Control,Audio feedback did not help me learn the movement of the gesture
